pregunta,opcion1,opcion2,opcion3,opcion4,opcion5,correctas,explicacion
"La Organización Mundial de la Salud manifiesta que el riesgo en la vía pública surge como resultado de diversos factores, ¿cuáles son?","Vehicular y Ambiental.","Humano y Vehicular.","Humano, Vehicular y Ambiental.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué factor se deben la mayoría de los siniestros viales?","Al humano.","Al vehicular.","Al ambiental.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"A fin de aumentar la propia seguridad y la de los demás, ¿a qué se debería poner atención durante la circulación?","Al estado del pavimento y al clima, en especial.","A las condiciones en que se encuentran: el automóvil, la infraestructura vial, las condiciones climáticas y el conductor.","Ninguna de las anteriores.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El factor ambiental es el principal factor de riesgo ya que las colisiones, en su mayoría, se deben a las condiciones meteorológicas o del camino","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Por lo general, las fallas mecánicas se deben a conductas negligentes por parte de los propietarios de los vehículos, que no se ocupan de la verificación del estado de su automóvil","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se denomina incidente de tránsito o incidente vial?","Hecho que puede ser evitado, en el cual se produce daño a persona o cosa, en ocasión de circulación en la vía pública.","Hecho impredecible e inevitable en ocasión de circulación en la vía pública.","Hecho, evitable o no, que involucra daños a terceros.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"“Cada usuario de la vía pública es responsable de una parte del tránsito.” ¿Es correcta ésta premisa?","No, porque los que tienen responsabilidad son aquellos que conducen cualquier tipo de vehículo.","No, la responsabilidad la asumen aquellos que obtienen una licencia de conducir.","Sí, porque se está obligado a no causar peligro ni entorpecer la circulación.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"“Como usuarios de la vía pública estamos obligados a no entorpecer injustificadamente la circulación y a no causar peligro, perjuicios o molestias innecesarias a las personas o daños a los bienes.” ¿Es correcta esta premisa?","Sí, independientemente del tipo de movilidad elegido.","No, los peatones son usuarios de la vía pública y no están obligados.","Sí pero sólo si estamos conduciendo un vehículo.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Además de provocar víctimas fatales o lesionados graves, ¿qué otras consecuencias puede generar un siniestro de tránsito?","Daños materiales, costos sanitarios y administrativos.","Daños materiales y costos sanitarios.","Sólo daños materiales.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Todo usuario de la vía pública debe, como premisa básica…","Asumir la obligación de no entorpecer la circulación y no causar peligro, perjuicios o molestias innecesarias a las personas o daños a los bienes.","Acreditar experiencia de manejo en vehículos por más de un año.","Concurrir a cursos de actualización en temática vial, con una frecuencia no mayor a seis meses.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuáles son los dos principios básicos de todo sistema de tránsito en el mundo?","Velocidad y confort.","Fluidez y seguridad.","Comodidad y agilidad.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Indique cuál es la premisa correcta:","A menor cantidad de vehículos, mayor probabilidad de siniestralidad.","A mayor cantidad de vehículos, menor probabilidad de siniestralidad.","A menor cantidad de vehículos, menor probabilidad de siniestralidad.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuál de las siguientes opciones representa a los usuarios de la vía, ordenados de más a menos vulnerable?","Camión - Colectivo - Moto - Ciclista - Peatón - Taxi/Automóvil.","Peatón - Ciclista - Moto - Colectivo - Taxi/Automóvil - Camión.","Peatón - Ciclista - Colectivo - Moto - Taxi/Automóvil - Camión.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué se debe evitar al circular en bicicleta?","Usar auriculares y dispositivos electrónicos, que afecten la concentración.","Usar ropa oscura y suelta.","Ambas respuestas, A y B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Un menor de 12 años puede circular en bicicleta por la calle","acompañado de un adulto mayor de 18 años.","Por la vereda, a la menor velocidad posible.","Ambas respuestas, A y B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuál es la velocidad máxima permitida para circular con una bicicleta con asistencia eléctrica?","Debe cumplir con las mismas normas de velocidades que el resto de los vehículos.","60 km/h.","30 km/h.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué indica una demarcación horizontal verde?","Que en esa intersección hay una ciclovía o bicisenda.","Que se aproxima a un cruce ferroviario.","Que es un cruce exclusivo de peatones",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué es una ciclovía","Sector señalizado especialmente en la calzada para la circulación con carácter preferente de ciclorodados (bicicletas) y dispositivos de movilidad personal.","Sector de la calzada señalizado especialmente con una separación física o demarcación horizontal para la circulación exclusiva de ciclorodados (bicicletas) y dispositivos de movilidad personal.","Sector señalizado y especialmente acondicionado en aceras y espacios verdes para la circulación de ciclorodados (bicicletas) y dispositivos de movilidad personal.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuál es la principal diferencia entre bicisendas y ciclovías?","La bicisenda es de uso exclusivo de bicicletas y la ciclovía de uso preferencial.","La bicisenda se encuentra sobre la calzada y la ciclovía sobre la vereda.","La bicisenda se encuentra sobre la vereda y la ciclovía sobre la calzada.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los ciclistas no están obligados a respetar todas las normas de tránsito, ya que no utilizan un vehículo que genera altas velocidades.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué distancia lateral debe dejar respecto de este ciclista en caso de querer sobrepasarlo","Al menos, un metro y medio.","Al menos, medio metro.","Lo suficiente para no tocarlo.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Está permitido llevar carga en una bicicleta?","Sí, lo único que se debe tener en cuenta es que no comprometa la visibilidad.","No, está prohibido ya que puede desestabilizar la bicicleta.","Sí, debe estar firmemente asegurada, permitiendo maniobrar y no perder la estabilidad.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El ciclista, ¿tiene permitido llevar un pasajero?","Sí, únicamente si no compromete la visibilidad.","Sí, mientras que esté ubicado en un asiento adicional detrás del conductor.","Ambas respuestas, A y B, son incorrectas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando no hay demarcación de la senda peatonal, ¿por dónde deben cruzar los peatones?","Es indistinto, siempre que miren a ambos lados antes de hacerlo.","En coincidencia con las paradas de transporte.","Por la esquina, por la prolongación longitudinal de la vereda sobre la calle.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué son los carriles exclusivos?","Vías con un único sentido de circulación.","Bandas longitudinales demarcadas en la calzada, destinadas a la circulación de determinados vehículos.","Lugar por donde circulan ambulancias, bomberos y/o vehículos policiales, en cumplimiento o no de sus funciones.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué debe hacer usted si su vehículo queda inmovilizado en un túnel?","Dejar el vehículo cerrado y salir del túnel cuanto antes.","Apagar todas las luces si el túnel está iluminado y solicitar auxilio a través del teléfono móvil.","Apagar el motor, colocar las balizas portátiles, mantener encendidas las luces de posición e intermitentes y llamar al número de asistencia.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de participar de un siniestro vial en una avenida, es recomendable señalizar la zona para que no se produzcan más incidentes viales.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En un procedimiento judicial de un siniestro vial, al ser convocados en carácter de testigo, no es obligatorio presentarse a declarar en la Fiscalía correspondiente.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La persona que se da a la fuga en un siniestro vial, dejando a alguien herido, puede ser juzgada por el delito de abandono de persona.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de participar de un siniestro vial, ¿de cuánto tiempo se dispone para dar aviso sobre el hecho a la compañía aseguradora del vehículo?","24 horas.","48 horas.","72 horas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de participar en un siniestro vial, en el que resultaron personas heridas, el personal policial que acuda al lugar se encargará de preservar la escena del hecho, brindando los medios para que los servicios de emergencia atiendan a los heridos y resguardando los vehículos y otras pruebas del incidente para una adecuada resolución del caso.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de participar en un siniestro vial, ¿qué es recomendable hacer como primer paso?","Detenerse inmediatamente y permanecer en el lugar del hecho.","Conducir hasta la comisaría más cercana.","Llamar al 911 y continuar el viaje.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de siniestro, el orden de actuación recomendado es…","Alertar - Socorrer - Proteger.","Proteger - Alertar - Socorrer.","Socorrer - Proteger - Alertar.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué obligaciones impone la ley a aquel conductor que participe de un siniestro?","Detenerse inmediatamente, solicitar auxilio para atender a las víctimas si las hubiera y brindar su colaboración para evitar mayores daños para la circulación.","Suministrar sus datos personales, del vehículo, de la licencia de conducir y del seguro obligatorio a los demás siniestrados y a la autoridad interviniente.","Ambas respuestas, A y B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Quién es el responsable civil por un incidente de tránsito producido por un menor de edad poseedor de una licencia de conducir?","El que firmó la autorización para obtener la licencia.","El que lo acompaña.","El que le autorizó el uso del vehículo.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En materia de Responsabilidad Civil, ¿qué es lo que se considera como factor determinante para dar inicio a una demanda?","La intención de la conducta dañosa.","La existencia de un daño real, que afecte a algún particular, provocado como consecuencia del incidente","Los antecedentes de la persona que provoca el daño.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Frente a un incidente de tránsito, ¿puede transferirse la Responsabilidad Penal del conductor de un vehículo al dueño del mismo?","No, porque la responsabilidad penal es intransferible.","Sí. Además, del dueño también puede transferirse a la Compañía de Seguros.","Lo resolverá el Juez, en función de la gravedad del incidente y sus consecuencias.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En un incidente de tránsito, ¿qué significa que el conductor sea considerado responsable por negligencia?","Que no ha respondido adecuadamente a una circunstancia del tránsito por falta de práctica en la conducción.","Que ha realizado un acto con su vehículo que las reglas de prudencia indican no hacer, o sea, que ha actuado peligrosamente.","Que ha actuado no conforme a las exigencias de la Ley.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Al tener la licencia vencida, ¿por cuánto tiempo puede seguir conduciendo sin estar en infracción?","30 días corridos desde su vencimiento.","Hasta las 00 horas del día de cumpleaños.","No está permitido conducir con la licencia vencida.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de comprobar una falta, ¿puede un agente de tránsito retener la licencia de conducir?","No, porque es un documento personal.","Sólo en los casos que la normativa vigente así lo indique.","Sólo en casos de incidentes que involucren a terceros.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando se vence la licencia de conducir, ¿cuánto tiempo puede transcurrir para su renovación antes de que se necesite tramitarla como si fuese un otorgamiento?","30 días corridos desde su vencimiento.","Para que se la pueda renovar, siempre debe hacerse antes de su vencimiento. Una vez vencida se la debe tramitar como licencia nueva.","90 días corridos desde su vencimiento.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuánto dura en su totalidad la condición de principiante?","2 años, sólo en el caso de los menores de 21 años de edad.","6 meses, sólo para quien la tramita por primera vez.","1 año, independientemente de la edad.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuántas “cédulas para autorizados a conducir” podrán otorgarse para un mismo vehículo?","Sólo una.","La cantidad que solicite el titular del vehículo.","Hasta cinco.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Se puede manejar un vehículo con “cédula para autorizado a conducir” a nombre de otra persona?","Siempre y cuando se encuentre vigente.","Sólo si es un familiar directo o tiene una relación laboral.","En ningún caso.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El certificado del seguro de responsabilidad civil es obligatorio llevarlo ÚNICAMENTE cuando se conduce por vías interurbanas.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Todo vehículo debe estar cubierto por un seguro, ¿qué daños mínimamente debe cubrir?","Eventuales daños causados a terceros transportados únicamente.","Eventuales daños causados a terceros transportados o no.","Daños causados a los vehículos únicamente.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Al sufrir la pérdida de la placa de dominio de un vehículo, ¿dónde se puede solicitar su reposición?","Se la puede solicitar en cualquier establecimiento comercial que la realice.","Se la debe solicitar en el Registro Nacional de la Propiedad del Automotor que corresponde al vehículo.","Ambas respuestas, la A y la B, son correctas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La ubicación y posición de las placas de dominio del vehículo, ¿puede sufrir algún tipo de modificación?","Sólo pueden, eventualmente, ampliarse para mejorar su visibilidad.","No, deben estar colocadas en el lugar y de forma reglamentaria.","Sólo está prohibido modificar la placa de dominio trasera, no así la delantera.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuál es el objetivo de la Verificación Técnica Vehicular?","Reducir la contaminación y mejorar la calidad del medio ambiente.","Garantizar el cumplimiento de las normas de seguridad de los vehículos.","Ambas respuestas, la A y la B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si los datos de la licencia de conducir no coinciden con los datos del DNI…","No ocurre absolutamente nada.","La licencia está vigente de todos modos.","La licencia se encuentra caduca. Salvo que no aun este vigente el plazo de gracias de los 90 dias.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Al tener la licencia vencida, ¿por cuánto tiempo puede seguir conduciendo sin estar en infracción","30 días corridos desde su vencimiento.","Hasta las 00 horas del día de cumpleaños.","No está permitido conducir con la licencia vencida, excepto que el vencimiento fuese un día inhábil, en cuyo caso se traslada al día hábil siguiente.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Se puede manejar un vehículo con “cédula azul ” a nombre de otra persona?","Siempre y cuando se encuentre vigente.","Sólo si es un familiar directo o tiene una relación laboral.","En ningún caso.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La persona que conduce bajo los efectos de estupefacientes…","Se pone en grave riesgo a sí mismo y a todos los que lo rodean.","Sólo pone en riesgo su propia vida.","Al estar desinhibido, asume menos riesgos.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuál de estas sustancias pueden afectar negativamente la capacidad de conducir?","Todos los medicamentos, de venta libre, que no necesitan receta.","Todos los medicamentos con efectos sedantes.","Ambas respuestas, la A y la B, son correctas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El consumo de medicamentos, ¿puede afectar la capacidad de conducir?","Siempre.","Nunca.","Depende del tipo de medicamento.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Por los efectos que provoca, el consumo de drogas ilegales no está permitido al momento de conducir; mientras que las drogas legales nunca afectan negativamente la capacidad de conducir.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Consumir cerveza influye en la conducción de un vehículo, haciendo que el conductor reduzca su capacidad de reacción y aumentando el tiempo necesario para responder ante un estímulo.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cada cuánto tiempo es recomendable parar si se realiza un viaje largo?","Cada 2 horas aproximadamente.","Cada 4 horas aproximadamente.","Cada 1 hora aproximadamente.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si se va a conducir por un largo tiempo, lo recomendable es dormir la noche anterior...","Aproximadamente 8 horas.","Al menos 4 horas.","Algunas horas, su cantidad no influye en la conducción ya que lo importante es realizar paradas de descanso.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El cansancio puede verse inducido por ingerir:","Bebidas alcohólicas.","Comidas abundantes.","Ambas respuestas, la A y la B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuáles de éstos son los síntomas que advierten sobre la fatiga en la conducción?","La sensación de euforia.","La visión borrosa y el aumento del número y duración de parpadeos.","No realizar movimientos en el asiento, ni cambios de postura.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Un conductor principiante, ¿puede sentirse más fácilmente fatigado?","Sí, por la falta de experiencia en la conducción.","No, porque todos somos iguales ante la Ley.","Únicamente cuando se trata de una persona que padece de fatiga crónica.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Por qué es peligroso conducir cansado?","Porque reduce la capacidad de reacción y aumenta el tiempo necesario para responder ante un estímulo.","Porque se circula más rápido.","Porque el viaje dura más.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué consecuencias tiene conducir habiendo dormido pocas horas previamente?","Reduce la capacidad de reacción y el estado de alerta.","Predispone a tomar malas decisiones, poniendo en riesgo la vida.","Ambas respuestas, la A y la B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Para evitar o retrasar la aparición de la fatiga, es aconsejable que el conductor:","Escuche música a alto volúmen.","Mantenga el interior del vehículo a una temperatura superior a 25 °C.","Mantenga bien ventilado el interior del vehículo.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Puede afectar negativamente la conducción, si el acompañante comienza una discusión con el conductor o con otra persona de la vía pública?","Sólo si es con el conductor. Si la discusión es con otra persona, lo mantiene en alerta ya que la tensión evita la somnolencia.","Sí, puede entorpecer su capacidad de atención al contexto, ya que las discusiones generan un estado de estrés.","No genera ningún efecto, siempre y cuando el conductor esté en condiciones legales para conducir.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Bajo los efectos del estrés, la conducción se vuelve:","Más temeraria.","Menos segura.","Ambas respuestas, A y B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El estrés no necesariamente puede alterar las capacidades para conducir de manera segura.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuál es el tiempo promedio de reacción de un conductor desde que percibe un peligro hasta que acciona el freno?","Aproximadamente 1 segundo.","Entre 2 y 3 segundos.","Es inmediato, no transcurre tiempo entre estas acciones.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si un conductor necesita realizar una llamada de urgencia con el teléfono celular, ¿qué debe hacer para no generar una situación de riesgo en la vía pública?","Colocar balizas y detenerse en un lugar donde esté permitido.","Ocupar el carril derecho, para circular a baja velocidad, y utilizar las balizas.","Al tratarse de una llamada de urgencia, no importa donde se realice.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La Verificación Técnica vehicular:","Es obligatoria para todos los vehículos.","Solamente para los destinados a transporte","Para todos los vehículos, excepto las motos, triciclos y cuatriciclos.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los datos en consignados en la licencia de Conducir:","Todo dato del conductor que se encuentra en la Licencia debe estar actualizado.","Sólo los datos referentes a nombre y domicilio del conductor.","Sólo deben actualizar los datos los conductores profesionales.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿ Que funcion cumplen las señales de prevencion?","Indican lo que se puede hacer o lo que esta prohibido hacer durante la circulacion.","Avisan sobre riesgos eventuales al circular por la calle.","Informan sobre destinos y servicios.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A que grupo de señales pertenecen las que son (en su mayoria) de forma redonda, de colores rojas y blancas y figura negra?","De informacion.","De reglamentacion.","De prevencion.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio."
"Si desea girar a la izquierda desde una calle de sentido único, ¿qué maniobra debe realizar?","Debo acercar el automóvil al centro de la calle y luego girar.","Debo acercarme al cordón de la misma mano para luego girar.","Debo acercar el automóvil a la derecha y luego girar.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿En qué circunstancias está permitido circular sin respetar distancias prudentes con el vehículo que va adelante?","Transitando vías multicarriles.","En toda circunstancia, si no se trata de vehículos de carga.","Está prohibido en toda circunstancia.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿En qué circunstancia está permitido circular marcha atrás?: (para todas las clases menos para moto)","Al salir de garajes.","En calles de tierra.","En garajes y calles de tierra.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Comprobante de Seguro:","Es optativo circular con el comprobante de seguro","Es obligatorio circular con el comprobante de seguro.","Es obligatorio circular con el comprobante de seguro sólo en caso de conductores profesionales.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Menores de edad:","Los menores de hasta DIEZ (10) años deben viajar sujetos al asiento trasero con el correaje correspondiente.","Los menores de hasta OCHO (8) años deben viajar sujetos al asiento trasero con el correaje correspondiente.","Los menores de hasta SEIS (6) años deben viajar sujetos al asiento trasero con el correaje correspondiente.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Exceso de velocidad:","Se encuentra prohibido conducir con exceso de velocidad compitiendo con otros u otros vehículos.","Se encuentra prohibido conducir con exceso de velocidad compitiendo con otros u otros vehículos o animales.","Se encuentra prohibido conducir con exceso de velocidad compitiendo con otros vehículos preparados para carrera.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Retención del vehiculo","El vehículo será secuestrado y retenido por 10 días si el infractor fuere el propietario.","El vehículo será secuestrado y retenido por 30 días si el infractor fuere el propietario","No es posible secuestrar el vehículo porque está prohibido legalmente.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cual es la edad minima para adquirir cualquier tipo de licencia según lo establecido en la Ley?","La edad mínima para adquirir cualquier tipo de licencia es 16 años.","La edad mínima para adquirir cualquier tipo de licencia es 18 años.","La edad mínima para adquirir determinada categoría de licencias es 16 años.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Está permitido conducir en la vía pública con auriculares puestos?","Si, ya que no genera impedimento visual ni físico.","No, está expresamente prohibido por la ley.","Depende la edad del conductor.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Limítase el expendio de bebidas alcohólicas, cualquiera sea su graduación, para su consumo, en establecimientos comerciales que tengan acceso directo desde caminos, rutas, semiautopistas o autopistas conforme lo establezca la reglamentación.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Vencido el plazo para hacer la VTV se está en infracción pero podemos seguir circulando.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio."
"¿Qué es el punto ciego?","Son las áreas de visión no cubiertas por los tres espejos retrovisores.","Son las áreas de visión cubiertas por los tres espejos retrovisores y no por la vista del conductor.","Son las áreas de visión no cubiertas por el parabrisas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué conductor tiene prioridad de paso en las encrucijadas?:","El que cruza desde su derecha.","El que cruza desde su izquierda.","Cualquiera de los dos.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En las vías con más de dos carriles por mano, el tránsito debe ajustarse a lo siguiente:","Se debe circular permaneciendo en un mismo carril y por el centro de éste.","Se debe circular siempre por el carril de la izquierda.","Se debe circular por cualquier carril lo más a la derecha posible.","Se debe circular por el carril de la derecha, por el centro de éste y utilizar el de la izquierda sólo para realizar adelantamientos.",,"4","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En una subida estrecha, ¿quién tiene prioridad de paso?","Quien asciende por la misma.","Quien desciende por la misma.","Quien desciende salvo que éste lleve acoplado y el que asciende no.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Zona de camino: todo espacio afectado a la vía de circulación y sus instalaciones paralelas, comprendido entre las propiedades contiguas;","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"PEATONES Y DICAPACITADOS. Los peatones transitarán: En zona urbana: Únicamente por la acera u otros espacios habilitados a ese fin.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Luces bajas: mientras el vehículo transite por rutas nacionales, las luces bajas permanecerán encendidas de noche, independientemente del grado de luz natural, o de las condiciones de visibilidad que se registren, excepto cuando corresponda la alta y en cruces ferroviales;","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En zona rural se estacionará lo más lejos posible de la calzada y banquina, en las zonas adyacentes y siempre que no se afecte la visibilidad.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Se presume responsable de un accidente al que carecía de prioridad de paso o cometió una infracción relacionada con la causa del mismo, sin perjuicio de la responsabilidad que pueda corresponderles a los que, aun respetando las disposiciones, pudiendo haberlo evitado voluntariamente, no lo hicieron.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
