pregunta,opcion1,opcion2,opcion3,opcion4,opcion5,correctas,explicacion,imagen
"Según la Organización Mundial de la Salud, la siguiente problemática es categorizada como “pandemia” ya que constituye la décima causa de muerte en todo el mundo.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0001.webp"
"Indique cuál de las siguientes situaciones conlleva mayor probabilidad de siniestralidad","Opción A.","Opción B.","Ambas respuestas, A y B, son correctas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0002.webp"
"¿Es aconsejable circular en bicicleta de esta manera?","Sí, porque está conduciendo correctamente.","No, ya que utilizar auriculares es un factor de distracción que impide conectarse con lo que sucede alrededor.","Sí, ya que tiene las medidas de seguridad necesarias y el uso de los auriculares permite mejorar la calidad del viaje.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0003.webp"
"En cuanto a su indumentaria, ¿cuál de los dos ciclistas presenta menor riesgo de sufrir un siniestro vial?","La opción A, ya que al tener ropa clara es más visible.","Opción B, ya que al tener ropa oscura no genera distracciones en los demás conductores.","Ambas opciones presentan el mismo riesgo por igual.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0004.webp"
"¿Se puede circular en bicicleta por esta vía?","Sí, siempre que se mantenga en el carril derecho.","No, está prohibido.","Sí, mientras se respete la velocidad mínima de la arteria.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0005.webp"
"¿Qué indica esta seña?","Giro a la izquierda.","Adelantamiento por la izquierda.","Detenerse.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0006.webp"
"¿Qué indica esta seña?","Adelantamiento por la derecha.","Giro a la derecha.","Detenerse.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0007.webp"
"Si usted pretende cruzar esta intersección, ¿hacia qué lado debe mirar?","Hacia la derecha.","Hacia la izquierda.","Hacia ambos lados.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0009.webp"
"En esta situación, ¿es correcto que el vehículo avance?","Sí, porque por allí no circulan peatones y no hay peligro.","No, porque aún hay peatones cruzando de un lado al otro de la arteria.","Sí, aunque haya peatones cruzando tiene el espacio suficiente para avanzar.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0010.webp"
"¿Cómo debe proceder, si al llegar a esta intersección, se desea continuar en línea recta?","Detener el vehículo para que el peatón termine de cruzar y, antes de avanzar, hacer contacto visual con los peatones que aún no comenzaron a cruzar, aun sabiendo que obstruiré por un momento la bocacalle.","Avanzar porque la luz verde del semáforo me habilita pero tocando bocina para que los peatones no se distraigan. Es importante no obstruir la bocacalle.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0011.webp"
"Desde el punto de vista del conductor frente a esta situación, ¿cuál es la acción adecuada?","Esquivar a la peatona y tocarle bocina para que no se distraiga.","Frenar y esperar a que termine de cruzar la peatona, aun sabiendo que el vehículo pueda obstaculizar el flujo vehicular.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0012.webp"
"Dadas las características de esta intersección, ¿el peatón también tiene prioridad?","No, pero si el peatón se encuentra cruzando, el conductor debe dejarlo pasar para no producir un siniestro vial.","Sí, siempre.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0013.webp"
